timestamp,step,marker_id,x,y,error_x,error_y,status
2025-08-09T14:30:11.395200,1/5,3,0.21797,0.59583,-0.28203,0.09582999999999997,TRACKING
2025-08-09T14:30:11.415565,1/5,3,0.21797,0.59583,-0.28203,0.09582999999999997,TRACKING
2025-08-09T14:30:11.455799,1/5,3,0.21797,0.59583,-0.28203,0.09582999999999997,TRACKING
2025-08-09T14:30:11.474163,1/5,3,0.21797,0.59583,-0.28203,0.09582999999999997,TRACKING
2025-08-09T14:30:11.498175,1/5,3,0.21797,0.59583,-0.28203,0.09582999999999997,TRACKING
2025-08-09T14:30:11.532846,1/5,3,0.21797,0.59583,-0.28203,0.09582999999999997,TRACKING
2025-08-09T14:30:11.563444,1/5,3,0.21797,0.59583,-0.28203,0.09582999999999997,TRACKING
2025-08-09T14:30:11.610990,1/5,3,0.24453,0.58194,-0.25547,0.08194000000000001,TRACKING
2025-08-09T14:30:11.642830,1/5,3,0.25234,0.57917,-0.24766,0.07916999999999996,TRACKING
2025-08-09T14:30:11.661838,1/5,3,0.25234,0.57917,-0.24766,0.07916999999999996,TRACKING
2025-08-09T14:30:11.696413,1/5,3,0.25703,0.57639,-0.24297000000000002,0.07638999999999996,TRACKING
2025-08-09T14:30:11.734827,1/5,3,0.25703,0.57639,-0.24297000000000002,0.07638999999999996,TRACKING
2025-08-09T14:30:11.763820,1/5,3,0.26562,0.57083,-0.23437999999999998,0.07082999999999995,TRACKING
2025-08-09T14:30:11.795259,1/5,3,0.26562,0.57083,-0.23437999999999998,0.07082999999999995,TRACKING
2025-08-09T14:30:11.829395,1/5,3,0.26875,0.57083,-0.23125,0.07082999999999995,TRACKING
2025-08-09T14:30:11.862871,1/5,3,0.26875,0.57083,-0.23125,0.07082999999999995,TRACKING
2025-08-09T14:30:11.904900,1/5,3,0.27578,0.56806,-0.22421999999999997,0.06806000000000001,TRACKING
2025-08-09T14:30:11.935413,1/5,3,0.27891,0.56667,-0.22109,0.06667000000000001,TRACKING
2025-08-09T14:30:11.965599,1/5,3,0.27891,0.56667,-0.22109,0.06667000000000001,TRACKING
2025-08-09T14:30:11.997390,1/5,3,0.28516,0.56528,-0.21483999999999998,0.06528,TRACKING
2025-08-09T14:30:12.042192,1/5,3,0.28516,0.56528,-0.21483999999999998,0.06528,TRACKING
2025-08-09T14:30:12.073063,1/5,3,0.29141,0.56111,-0.20859,0.06111,TRACKING
2025-08-09T14:30:12.095046,1/5,3,0.29141,0.56111,-0.20859,0.06111,TRACKING
2025-08-09T14:30:12.128828,1/5,3,0.29688,0.55972,-0.20312000000000002,0.059719999999999995,TRACKING
2025-08-09T14:30:12.164257,1/5,3,0.29688,0.55972,-0.20312000000000002,0.059719999999999995,TRACKING
2025-08-09T14:30:12.194308,1/5,3,0.30156,0.55833,-0.19844,0.05832999999999999,TRACKING
2025-08-09T14:30:12.240878,1/5,3,0.30469,0.55556,-0.19530999999999998,0.055560000000000054,TRACKING
2025-08-09T14:30:12.261635,1/5,3,0.30469,0.55556,-0.19530999999999998,0.055560000000000054,TRACKING
2025-08-09T14:30:12.303518,1/5,3,0.31016,0.55278,-0.18984,0.05278000000000005,TRACKING
2025-08-09T14:30:12.326383,1/5,3,0.31016,0.55278,-0.18984,0.05278000000000005,TRACKING
2025-08-09T14:30:12.364476,1/5,3,0.31484,0.55139,-0.18516,0.05139000000000005,TRACKING
2025-08-09T14:30:12.393927,1/5,3,0.31797,0.55,-0.18203000000000003,0.050000000000000044,TRACKING
2025-08-09T14:30:12.440442,1/5,3,0.31797,0.55,-0.18203000000000003,0.050000000000000044,TRACKING
2025-08-09T14:30:12.461190,1/5,3,0.32109,0.54861,-0.17891,0.04861000000000004,TRACKING
2025-08-09T14:30:12.501429,1/5,3,0.32109,0.54861,-0.17891,0.04861000000000004,TRACKING
2025-08-09T14:30:12.531544,1/5,3,0.32578,0.54583,-0.17421999999999999,0.04583000000000004,TRACKING
2025-08-09T14:30:12.567573,1/5,3,0.32969,0.54583,-0.17031000000000002,0.04583000000000004,TRACKING
2025-08-09T14:30:12.594471,1/5,3,0.32969,0.54583,-0.17031000000000002,0.04583000000000004,TRACKING
2025-08-09T14:30:12.640256,1/5,3,0.33203,0.54444,-0.16797,0.044440000000000035,TRACKING
2025-08-09T14:30:12.660250,1/5,3,0.33203,0.54444,-0.16797,0.044440000000000035,TRACKING
2025-08-09T14:30:12.701160,1/5,3,0.33594,0.54306,-0.16405999999999998,0.04305999999999999,TRACKING
2025-08-09T14:30:12.732629,1/5,3,0.33906,0.54306,-0.16094000000000003,0.04305999999999999,TRACKING
2025-08-09T14:30:12.764166,1/5,3,0.33906,0.54306,-0.16094000000000003,0.04305999999999999,TRACKING
2025-08-09T14:30:12.793851,1/5,3,0.34219,0.54028,-0.15781,0.04027999999999998,TRACKING
2025-08-09T14:30:12.826156,1/5,3,0.34688,0.53889,-0.15311999999999998,0.03888999999999998,TRACKING
2025-08-09T14:30:12.871567,1/5,3,0.34688,0.53889,-0.15311999999999998,0.03888999999999998,TRACKING
2025-08-09T14:30:12.901876,1/5,3,0.34766,0.5375,-0.15233999999999998,0.03749999999999998,TRACKING
2025-08-09T14:30:12.932575,1/5,3,0.35156,0.5375,-0.14844000000000002,0.03749999999999998,TRACKING
2025-08-09T14:30:12.962976,1/5,3,0.35156,0.5375,-0.14844000000000002,0.03749999999999998,TRACKING
2025-08-09T14:30:12.994111,1/5,3,0.35313,0.5375,-0.14687,0.03749999999999998,TRACKING
