timestamp,side,target_distance,current_distance,dist_error,pid_speed_output,target_yaw,current_yaw,yaw_correction_speed
17.683170795440674,3,0.6,-0.00024805144638916543,0.6002480514463892,0.18417742832995884,-4.86,-4.86,0.0
17.71568489074707,3,0.6,-0.00016833907153762892,0.6001683390715377,0.18380227011153993,-4.86,-4.86,0.0
17.74101972579956,3,0.6,0.00024591483032608335,0.5997540851696739,0.18165104838632262,-4.86,-4.91,0.617196840368255
17.773658990859985,3,0.6,0.0013553128842772023,0.5986446871157228,0.17876749152884613,-4.86,-4.92,0.12223634405221367
17.799046993255615,3,0.6,0.005851399978379007,0.594148600021621,0.14955182233960496,-4.86,-4.98,0.7696234751337221
17.832382678985596,3,0.6,0.009390736062461283,0.5906092639375387,0.16365891243503708,-4.86,-4.99,0.15605417868611682
17.857410430908203,3,0.6,0.018952315670105514,0.5810476843298945,0.10634425405516075,-4.86,-4.93,-0.6829659069077131
17.89061212539673,3,0.6,0.024698144687370138,0.5753018553126299,0.14737171220185452,-4.86,-4.97,0.4180282789227142
17.916104555130005,3,0.6,0.03676707273815238,0.5632329272618476,0.08439423478685033,-4.86,-4.94,-0.3112411043144509
17.940871238708496,3,0.6,0.04283514010770894,0.557164859892291,0.12894828346455406,-4.86,-4.94,0.04200301551818851
17.966057300567627,3,0.6,0.0485203376306134,0.5514796623693866,0.13179347539882477,-4.86,-4.96,0.2904818777839091
17.99112606048584,3,0.6,0.05356295538717748,0.5464370446128225,0.13588090756087617,-4.86,-5.0,0.5512892694339577
18.01665186882019,3,0.6,0.06132321629588703,0.538676783704113,0.11366737710913934,-4.86,-4.97,-0.29469770618579577
18.04160475730896,3,0.6,0.06409193191913734,0.5359080680808627,0.15211709404492002,-4.86,-4.99,0.3086641346205003
18.066420078277588,3,0.6,0.06596134168564324,0.5340386583143567,0.15934385485524105,-4.86,-4.99,0.06853360939025872
18.099881649017334,3,0.6,0.06751339386738521,0.5324866061326148,0.16555908369991637,-4.86,-4.99,0.06896860980987543
18.124834775924683,3,0.6,0.06724755094334621,0.5327524490566538,0.17771089169627052,-4.86,-5.0,0.19454336706437536
18.15833616256714,3,0.6,0.06695415500660162,0.5330458449933984,0.17832590060915687,-4.86,-5.03,0.3626200543795318
18.18275547027588,3,0.6,0.06695415500660162,0.5330458449933984,0.17721189138626361,-4.86,-5.07,0.5918974159854303
18.208304166793823,3,0.6,0.06720264864261091,0.532797351357389,0.17582338093480462,-4.86,-5.1,0.4849211000240118
18.241929054260254,3,0.6,0.06999532591388061,0.5300046740861194,0.16128598133412547,-4.86,-5.16,0.6911663061704783
18.265586137771606,3,0.6,0.07261034476817714,0.5273896552318228,0.1559701515820753,-4.86,-5.16,0.15773676228523245
18.298311471939087,3,0.6,0.08016176571650259,0.5198382342834974,0.12942969328981802,-4.86,-5.15,0.06060337339883669
18.33017349243164,3,0.6,0.08533561050864324,0.5146643894913567,0.14357943762451844,-4.86,-5.16,0.25236946945744443
18.355391025543213,3,0.6,0.09724826298478842,0.5027517370152116,0.07814420797744678,-4.86,-5.1,-0.5835417202445023
18.380724668502808,3,0.6,0.10343565923880275,0.4965643407611972,0.1225488364158676,-4.86,-5.08,-0.11603450115867028
18.41452121734619,3,0.6,0.10950219752769806,0.4904978024723019,0.1339183569750726,-4.86,-5.08,0.12153654718399035
18.4393949508667,3,0.6,0.12049202468869967,0.4795079753113003,0.07928124702497212,-4.86,-5.14,0.876255405451944
18.473362684249878,3,0.6,0.1248520039796969,0.4751479960203031,0.1419362184931719,-4.86,-5.17,0.4290846541856334
18.49857497215271,3,0.6,0.13293107722179365,0.46706892277820633,0.10127968344384039,-4.86,-5.13,-0.32697514341427447
18.523120403289795,3,0.6,0.13382868865209524,0.46617131134790474,0.15835701935575153,-4.86,-5.13,0.1496459748744962
18.547285079956055,3,0.6,0.1340086861969321,0.4659913138030679,0.16463171771977891,-4.86,-5.16,0.5484815727252361
18.571002960205078,3,0.6,0.13354017348287853,0.4664598265171215,0.1707581497393548,-4.86,-5.17,0.2956988649467133
18.59514546394348,3,0.6,0.1326771324488736,0.4673228675511264,0.17475412885557062,-4.86,-5.21,0.6825962588562986
