Timestamp,Roll (deg),Pitch (deg),Yaw (deg)
2025-07-03 21:46:43.844910,-90.85,0.66,-0.22
2025-07-03 21:46:43.947419,-90.9,0.69,-0.26
2025-07-03 21:46:44.047944,-90.75,0.87,-0.29
2025-07-03 21:46:44.147825,-90.72,0.99,-0.31
2025-07-03 21:46:44.248267,-90.78,1.03,-0.29
2025-07-03 21:46:44.349188,-90.69,1.02,-0.28
2025-07-03 21:46:44.444431,-90.84,0.91,-0.29
2025-07-03 21:46:44.547864,-90.69,0.96,-0.27
2025-07-03 21:46:44.645490,-90.7,0.94,-0.3
2025-07-03 21:46:44.748757,-90.74,0.81,-0.32
2025-07-03 21:46:44.848300,-90.76,0.91,-0.31
2025-07-03 21:46:44.945560,-90.63,0.82,-0.33
2025-07-03 21:46:45.046073,-91.21,0.9,-0.33
2025-07-03 21:46:45.138665,-90.82,0.91,-0.36
2025-07-03 21:46:45.251029,-90.7,0.85,-0.32
2025-07-03 21:46:45.368991,-90.63,0.88,-0.3
2025-07-03 21:46:45.461027,-90.63,0.88,-0.3
2025-07-03 21:46:45.568515,-90.65,0.89,-0.3
2025-07-03 21:46:45.666472,-90.67,0.89,-0.31
2025-07-03 21:46:45.764236,-90.68,0.9,-0.31
2025-07-03 21:46:45.868561,-90.68,0.9,-0.31
2025-07-03 21:46:45.967533,-90.68,0.9,-0.31
2025-07-03 21:46:46.065877,-90.68,0.9,-0.31
2025-07-03 21:46:46.167778,-90.68,0.9,-0.31
2025-07-03 21:46:46.267776,-90.68,0.9,-0.31
2025-07-03 21:46:46.368377,-89.52,0.91,-0.28
2025-07-03 21:46:46.466186,-82.52,0.84,-0.18
2025-07-03 21:46:46.568902,-75.66,0.83,-0.07
2025-07-03 21:46:46.668661,-68.43,0.84,-0.03
2025-07-03 21:46:46.767433,-60.74,0.8,0.04
2025-07-03 21:46:46.868444,-53.09,0.76,0.05
2025-07-03 21:46:46.963404,-45.29,0.73,0.07
2025-07-03 21:46:47.066495,-37.34,0.69,0.09
2025-07-03 21:46:47.163512,-29.46,0.61,0.09
2025-07-03 21:46:47.266657,-21.54,0.55,0.09
2025-07-03 21:46:47.363412,-13.56,0.48,0.09
2025-07-03 21:46:47.466314,-5.75,0.43,0.06
2025-07-03 21:46:47.566234,-1.9,0.36,0.05
2025-07-03 21:46:47.660501,-1.07,0.36,0.05
2025-07-03 21:46:47.768900,-1.14,0.36,0.04
2025-07-03 21:46:47.867931,-1.15,0.36,0.04
2025-07-03 21:46:47.968529,-1.15,0.35,0.05
2025-07-03 21:46:48.059200,-1.15,0.35,0.05
2025-07-03 21:46:48.168426,-1.15,0.35,0.04
2025-07-03 21:46:48.264237,-1.15,0.35,0.04
2025-07-03 21:46:48.368573,-1.16,0.35,0.04
2025-07-03 21:46:48.462373,-1.16,0.35,0.04
2025-07-03 21:46:48.568106,-1.16,0.35,0.04
2025-07-03 21:46:48.668430,-1.2,0.41,0.06
2025-07-03 21:46:48.768473,-1.06,0.5,0.09
2025-07-03 21:46:48.860548,-1.19,0.4,0.16
