Timestamp,data
2025-07-04 16:35:04.136245,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:04.236434,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:04.336207,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:04.435460,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:04.540155,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:04.636349,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:04.741026,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:04.836991,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:04.961024,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:05.058400,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:05.158165,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:05.251096,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:05.353610,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:05.453036,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:05.555115,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:05.655322,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:05.756271,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:05.858260,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:05.959536,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:06.056229,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:06.154827,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:06.248738,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:06.360182,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:06.449218,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:06.560295,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:06.649660,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
