Timestamp,Acc_X (g),Acc_Y (g),Acc_Z (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s)
2025-07-03 21:46:38.865618,0.08876,0.01237,-1.0017,0.01673,-0.00037,-0.00352
2025-07-03 21:46:38.961054,-0.0728,0.01076,-0.99936,0.00311,0.0206,0.00333
2025-07-03 21:46:39.065554,0.09566,0.03127,-1.04278,0.00639,0.05013,-0.03167
2025-07-03 21:46:39.166509,0.01384,0.01163,-1.04017,-0.03024,-0.03499,0.01131
2025-07-03 21:46:39.263844,-0.0488,0.00947,-1.00217,0.02134,0.0581,-0.04467
2025-07-03 21:46:39.362318,-0.04736,0.02917,-0.94141,0.0373,0.01665,-0.00942
2025-07-03 21:46:39.460924,-0.14116,-0.01813,-1.02056,-0.01909,-0.01611,0.05386
2025-07-03 21:46:39.566769,0.00761,-0.00988,-1.0255,-0.01068,0.01698,0.03939
2025-07-03 21:46:39.667714,-0.10741,0.03595,-0.97525,0.04045,0.00141,-0.0293
2025-07-03 21:46:39.764723,-0.13303,0.01974,-1.00856,0.01364,-0.00582,-0.00203
2025-07-03 21:46:39.866253,-0.03837,0.01617,-1.016,-0.00815,0.01745,-0.00132
2025-07-03 21:46:39.968723,0.00604,0.00324,-1.0179,-0.00794,0.0194,0.07939
2025-07-03 21:46:40.064739,0.03106,-0.00595,-1.00631,-0.00383,-0.00933,-0.0405
2025-07-03 21:46:40.165002,-0.01902,-0.00099,-0.99844,0.0121,0.00726,-0.00153
2025-07-03 21:46:40.268789,-0.00768,0.00659,-1.00553,0.00076,0.01101,0.02226
2025-07-03 21:46:40.368391,-0.00522,0.0092,-1.00976,0.00315,-0.00166,0.01274
2025-07-03 21:46:40.468136,-0.01194,0.00709,-1.00727,0.00105,0.00221,0.00887
2025-07-03 21:46:40.568316,-0.03124,0.01066,-1.0082,0.00593,-0.00081,-0.0035
2025-07-03 21:46:40.665154,-0.01664,0.00733,-1.00978,0.00532,0.00277,0.00735
2025-07-03 21:46:40.767900,-0.01574,0.00261,-1.00837,0.00543,0.0044,0.00866
2025-07-03 21:46:40.864792,-0.00916,0.00259,-1.01025,0.00401,0.00426,0.0121
2025-07-03 21:46:40.968011,-0.00652,0.0025,-1.00847,-6e-05,0.00399,0.01238
2025-07-03 21:46:41.068059,-0.00776,0.0035,-1.00934,0.00084,0.00757,0.00696
2025-07-03 21:46:41.167848,-0.14527,-0.42914,-0.99169,0.02035,0.03764,1.43753
2025-07-03 21:46:41.268371,0.02459,-0.00573,-0.99433,0.0225,-0.0066,1.06115
2025-07-03 21:46:41.368983,0.01364,0.05256,-1.00893,-0.00742,-0.00648,1.21985
2025-07-03 21:46:41.470090,0.01116,0.03816,-0.98686,-0.0343,-0.03019,1.30538
2025-07-03 21:46:41.562805,-0.01202,-0.01042,-0.97725,0.03778,0.02977,1.36101
2025-07-03 21:46:41.668342,0.03273,0.00192,-1.01497,0.015,-0.01415,1.31585
2025-07-03 21:46:41.767573,0.01363,-0.04645,-0.99971,-0.0234,-0.03102,1.46023
2025-07-03 21:46:41.867403,0.02041,-0.0177,-1.01322,-0.0272,-0.03226,1.38901
2025-07-03 21:46:41.964490,0.02986,0.01095,-1.01855,-0.03925,0.01074,1.41073
2025-07-03 21:46:42.067365,0.01281,-0.00024,-1.01938,-0.0289,0.00951,1.44029
2025-07-03 21:46:42.166436,0.03068,-0.00803,-1.00673,-0.02684,-0.04548,1.38761
2025-07-03 21:46:42.267420,0.04125,0.01851,-1.00259,-0.02702,-0.00439,1.26638
2025-07-03 21:46:42.364810,0.01491,0.03929,-1.01219,-0.00319,-0.00859,0.34444
2025-07-03 21:46:42.468040,-0.00733,0.01752,-1.00844,0.00986,0.00437,-0.00114
2025-07-03 21:46:42.568804,-0.00991,0.00122,-1.00941,0.00317,0.00244,0.01496
2025-07-03 21:46:42.668721,-0.0034,0.01555,-1.00783,0.00263,0.00495,0.00673
2025-07-03 21:46:42.769085,0.00039,0.00923,-1.00827,0.0027,0.00209,0.00846
2025-07-03 21:46:42.863609,0.00018,0.01047,-1.00923,0.00304,0.00303,0.00767
2025-07-03 21:46:42.968689,-0.00401,0.01062,-1.00916,0.0013,0.00298,0.00783
2025-07-03 21:46:43.059004,-0.0026,0.01051,-1.01034,0.00282,0.00292,0.01164
2025-07-03 21:46:43.168971,-0.00031,0.01134,-1.00927,0.0024,0.00547,0.00835
2025-07-03 21:46:43.268454,-0.00119,0.01139,-1.01038,0.00341,0.00088,0.00891
2025-07-03 21:46:43.366575,-0.00277,0.01158,-1.00984,0.00454,0.0033,0.01186
2025-07-03 21:46:43.459103,0.17877,-0.07704,-1.01284,-0.00033,0.01969,0.13132
2025-07-03 21:46:43.562577,0.25431,0.1046,-1.00651,-0.00506,-0.04593,-0.10529
2025-07-03 21:46:43.668166,0.01527,-0.06309,-0.99597,0.02227,-0.0041,-0.0413
2025-07-03 21:46:43.768102,-0.0972,0.02178,-1.00476,-0.02247,-0.00289,0.00527
2025-07-03 21:46:43.868438,0.13611,-0.0092,-1.03039,-0.00061,-0.01307,0.03443
2025-07-03 21:46:43.968108,-0.04319,0.03178,-0.96381,0.01089,0.03755,-0.01791
2025-07-03 21:46:44.063180,0.00398,0.01737,-0.99243,0.00776,0.059,0.06535
2025-07-03 21:46:44.167886,0.07667,0.01887,-1.01328,-0.04273,-0.02341,0.04367
2025-07-03 21:46:44.263077,-0.05045,0.04934,-0.97415,0.01521,0.08505,-0.0365
