timestamp,x,y,z
1752938001.442045,0.1,0.0,0.0
1752938001.550696,0.2,0.0,0.0
1752938001.6596298,0.29,0.0,0.0
1752938001.7682624,0.37,0.0,0.0
1752938001.8759115,0.45,0.0,0.0
1752938001.9842696,0.53,0.0,0.0
1752938002.094814,0.6,0.0,0.0
1752938002.20333,0.67,0.0,0.0
1752938002.3110144,0.74,0.0,0.0
1752938002.418911,0.8,0.0,0.0
1752938002.52848,0.86,0.0,0.0
1752938002.6381156,0.92,0.0,0.0
1752938002.7466147,0.97,0.0,0.0
1752938002.8542643,1.02,0.0,0.0
1752938002.96351,1.07,0.0,0.0
1752938003.0721648,1.12,0.0,0.0
1752938003.181825,1.16,0.0,0.0
1752938003.2894905,1.21,0.0,0.0
1752938003.39827,1.25,0.0,0.0
1752938003.506941,1.28,0.0,0.0
1752938003.6156356,1.32,0.0,0.0
1752938003.725168,1.35,0.0,0.0
1752938003.8337314,1.39,0.0,0.0
1752938003.9422193,1.42,0.0,0.0
1752938004.0507529,1.45,0.0,0.0
1752938004.1592946,1.47,0.0,0.0
1752938004.267748,1.5,0.0,0.0
1752938004.3772502,1.52,0.0,0.0
1752938004.484142,1.55,0.0,0.0
1752938004.5918546,1.57,0.0,0.0
1752938004.7005403,1.59,0.0,0.0
1752938004.8083186,1.61,0.0,0.0
1752938004.9161687,1.63,0.0,0.0
1752938005.023014,1.65,0.0,0.0
1752938005.1328387,1.67,0.0,0.0
1752938005.2404785,1.68,0.0,0.0
1752938005.3485184,1.7,0.0,0.0
1752938005.4571545,1.72,0.0,0.0
1752938005.5648856,1.73,0.0,0.0
1752938005.6736577,1.74,0.0,0.0
1752938005.781857,1.76,0.0,0.0
1752938005.8906436,1.77,0.0,0.0
1752938005.9992886,1.78,0.0,0.0
1752938006.1071389,1.79,0.0,0.0
1752938006.2156818,1.8,0.0,0.0
1752938006.325301,1.81,0.0,0.0
1752938006.4336765,1.82,0.0,0.0
1752938006.5437815,1.83,0.0,0.0
1752938006.653485,1.84,0.0,0.0
1752938006.7622647,1.85,0.0,0.0
1752938006.8716426,1.85,0.0,0.0
1752938006.980402,1.86,0.0,0.0
1752938007.0880835,1.87,0.0,0.0
1752938007.197877,1.87,0.0,0.0
1752938007.3064845,1.88,0.0,0.0
1752938007.413955,1.89,0.0,0.0
1752938007.5227928,1.89,0.0,0.0
1752938007.6342378,1.9,0.0,0.0
1752938007.7425704,1.9,0.0,0.0
1752938007.8513691,1.91,0.0,0.0
1752938007.9604785,1.91,0.0,0.0
1752938008.0683331,1.92,0.0,0.0
1752938008.1758573,1.92,0.0,0.0
1752938008.2845483,1.92,0.0,0.0
1752938008.3960307,1.93,0.0,0.0
1752938008.5065544,1.93,0.0,0.0
1752938008.6148775,1.94,0.0,0.0
1752938008.7237597,1.94,0.0,0.0
1752938008.8332644,1.94,0.0,0.0
1752938008.9410672,1.94,0.0,0.0
1752938009.0488343,1.95,0.0,0.0
1752938009.1558723,1.95,0.0,0.0
1752938009.2644527,1.95,0.0,0.0
1752938009.372209,1.96,0.0,0.0
1752938009.4789937,1.96,0.0,0.0
1752938009.588517,1.96,0.0,0.0
1752938009.6972117,1.96,0.0,0.0
1752938009.806013,1.96,0.0,0.0
1752938009.914546,1.97,0.0,0.0
1752938010.0235555,1.97,0.0,0.0
1752938010.1297095,1.97,0.0,0.0
1752938010.239018,1.97,0.0,0.0
1752938010.3478773,1.97,0.0,0.0
1752938010.456906,1.97,0.0,0.0
1752938010.5647879,1.97,0.0,0.0
1752938010.673618,1.98,0.0,0.0
1752938010.780149,1.98,0.0,0.0
1752938010.8873775,1.98,0.0,0.0
1752938010.99508,1.98,0.0,0.0
1752938011.1035593,1.98,0.0,0.0
1752938011.2133005,1.98,0.0,0.0
1752938011.3200366,1.98,0.0,0.0
1752938011.4270742,1.98,0.0,0.0
1752938011.5347862,1.98,0.0,0.0
1752938011.6422431,1.98,0.0,0.0
1752938011.7504358,1.99,0.0,0.0
1752938011.8578627,1.99,0.0,0.0
1752938011.964267,1.99,0.0,0.0
1752938012.071424,1.99,0.0,0.0
1752938012.179485,1.99,0.0,0.0
1752938012.2875907,1.99,0.0,0.0
1752938012.3985093,1.99,0.0,0.0
1752938012.5058403,1.99,0.0,0.0
1752938012.6134534,1.99,0.0,0.0
