Timestamp,data
2025-07-08 11:03:28.810553,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:28.910946,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:29.010129,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:29.112468,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:29.210624,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:29.321855,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:29.410359,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:29.512006,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:29.610936,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:29.711665,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:29.811786,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:29.924754,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:30.011449,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:30.110846,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:30.211286,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:30.312584,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:30.422321,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:30.509953,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:30.610241,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:30.711050,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:30.817818,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:30.910566,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:31.010567,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:31.110708,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:31.210644,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:31.310394,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:31.410560,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:31.511870,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:31.610998,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:31.731500,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:31.830347,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:31.931531,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-08 11:03:32.032074,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
