Timestamp,Pos_x (m),Pos_y (m),Pos_z (m)
2025-07-03 21:46:42.025021,-0.6008,0.55933,0.0
2025-07-03 21:46:42.127966,-0.60021,0.55893,0.0
2025-07-03 21:46:42.224868,-0.59946,0.55793,0.0
2025-07-03 21:46:42.327950,-0.59657,0.5564,0.0
2025-07-03 21:46:42.421920,-0.59375,0.55452,0.0
2025-07-03 21:46:42.528613,-0.59212,0.55461,0.0
2025-07-03 21:46:42.628663,-0.59175,0.55511,0.0
2025-07-03 21:46:42.728822,-0.59151,0.5555,0.0
2025-07-03 21:46:42.828438,-0.59166,0.55592,0.0
2025-07-03 21:46:42.928644,-0.5915,0.55615,0.0
2025-07-03 21:46:43.018612,-0.59176,0.55663,0.0
2025-07-03 21:46:43.120937,-0.59209,0.55704,0.0
2025-07-03 21:46:43.224283,-0.59237,0.55734,0.0
2025-07-03 21:46:43.323680,-0.59263,0.55766,0.0
2025-07-03 21:46:43.427810,-0.59332,0.55686,0.0
2025-07-03 21:46:43.524522,-0.60211,0.53198,0.0
2025-07-03 21:46:43.624864,-0.60463,0.48713,0.0
2025-07-03 21:46:43.726295,-0.60716,0.44536,0.0
2025-07-03 21:46:43.821463,-0.60679,0.40993,0.0
2025-07-03 21:46:43.923922,-0.60668,0.3631,0.0
2025-07-03 21:46:44.028147,-0.60611,0.31951,0.0
2025-07-03 21:46:44.123362,-0.60603,0.27519,0.0
2025-07-03 21:46:44.226796,-0.60536,0.22545,0.0
2025-07-03 21:46:44.323683,-0.60502,0.18064,0.0
2025-07-03 21:46:44.426378,-0.60401,0.13408,0.0
2025-07-03 21:46:44.523214,-0.60303,0.10105,0.0
2025-07-03 21:46:44.628491,-0.60278,0.07621,0.0
2025-07-03 21:46:44.728214,-0.60198,0.04586,0.0
2025-07-03 21:46:44.824876,-0.60162,0.03304,0.0
2025-07-03 21:46:44.926919,-0.60088,0.02037,0.0
2025-07-03 21:46:45.027972,-0.60195,0.01331,0.0
2025-07-03 21:46:45.129500,-0.60389,0.01807,0.0
2025-07-03 21:46:45.222921,-0.60089,0.00993,0.0
2025-07-03 21:46:45.328330,-0.6012,0.00683,0.0
