Timestamp,Roll (deg),Pitch (deg),Yaw (deg)
2025-07-08 11:03:28.753957,3.12,0.92,0.84
2025-07-08 11:03:28.850954,3.11,0.97,0.86
2025-07-08 11:03:28.951392,3.27,1.02,0.89
2025-07-08 11:03:29.050950,3.13,0.98,0.88
2025-07-08 11:03:29.154769,2.99,0.91,0.86
2025-07-08 11:03:29.257863,2.99,1.02,0.91
2025-07-08 11:03:29.351357,2.98,1.07,0.96
2025-07-08 11:03:29.452111,3.06,1.08,0.99
2025-07-08 11:03:29.550911,3.06,1.06,0.98
2025-07-08 11:03:29.650999,3.07,0.91,0.93
2025-07-08 11:03:29.751537,3.08,0.84,0.93
2025-07-08 11:03:29.851338,3.04,0.75,0.93
2025-07-08 11:03:29.951223,3.02,0.65,0.97
2025-07-08 11:03:30.050720,3.08,0.74,0.99
2025-07-08 11:03:30.150923,3.09,0.65,1.03
2025-07-08 11:03:30.252814,3.06,0.68,1.01
2025-07-08 11:03:30.351130,3.17,0.72,0.99
2025-07-08 11:03:30.451988,2.84,0.72,0.99
2025-07-08 11:03:30.550579,2.96,0.78,0.98
2025-07-08 11:03:30.653200,3.27,0.74,0.98
2025-07-08 11:03:30.751788,3.28,0.72,0.99
2025-07-08 11:03:30.850367,3.31,0.71,1.0
2025-07-08 11:03:30.954688,3.3,0.71,1.01
2025-07-08 11:03:31.050917,3.33,0.71,1.0
2025-07-08 11:03:31.150798,3.33,0.7,0.99
2025-07-08 11:03:31.250596,3.33,0.7,1.0
2025-07-08 11:03:31.353983,3.34,0.71,1.01
2025-07-08 11:03:31.458461,3.34,0.71,1.01
2025-07-08 11:03:31.550547,3.34,0.71,1.02
2025-07-08 11:03:31.671293,6.73,0.61,1.0
2025-07-08 11:03:31.771855,13.25,0.43,1.12
2025-07-08 11:03:31.883166,20.33,0.26,1.1
2025-07-08 11:03:31.973315,27.71,0.08,1.08
2025-07-08 11:03:32.071644,35.37,-0.14,1.08
2025-07-08 11:03:32.172133,43.11,-0.31,0.98
2025-07-08 11:03:32.270536,50.98,-0.53,0.9
2025-07-08 11:03:32.371240,58.84,-0.7,0.84
2025-07-08 11:03:32.471139,66.78,-0.83,0.7
2025-07-08 11:03:32.570898,74.75,-0.98,0.61
2025-07-08 11:03:32.670566,82.66,-1.1,0.45
2025-07-08 11:03:32.770463,89.91,-1.18,0.22
2025-07-08 11:03:32.871615,92.65,-1.22,0.16
2025-07-08 11:03:32.971733,93.31,-1.22,0.14
2025-07-08 11:03:33.070524,93.3,-1.23,0.14
2025-07-08 11:03:33.179676,93.31,-1.23,0.13
2025-07-08 11:03:33.270594,93.31,-1.24,0.13
2025-07-08 11:03:33.370637,93.31,-1.24,0.13
2025-07-08 11:03:33.470767,93.31,-1.24,0.12
2025-07-08 11:03:33.571673,93.31,-1.24,0.13
2025-07-08 11:03:33.670704,93.31,-1.24,0.12
2025-07-08 11:03:33.771926,93.31,-1.24,0.12
2025-07-08 11:03:33.875060,93.31,-1.24,0.13
2025-07-08 11:03:33.972453,93.27,-1.15,0.14
2025-07-08 11:03:34.070546,93.83,-1.15,0.14
2025-07-08 11:03:34.170372,93.31,-1.23,0.19
2025-07-08 11:03:34.272234,93.18,-1.31,0.08
2025-07-08 11:03:34.370598,93.07,-1.25,0.1
2025-07-08 11:03:34.470738,93.15,-1.3,0.1
2025-07-08 11:03:34.570620,93.2,-1.35,0.13
2025-07-08 11:03:34.681447,93.2,-1.32,0.17
2025-07-08 11:03:34.771362,93.28,-1.45,0.12
2025-07-08 11:03:34.871905,93.29,-1.4,0.1
2025-07-08 11:03:34.971954,93.27,-1.5,0.08
2025-07-08 11:03:35.074753,93.25,-1.5,0.1
2025-07-08 11:03:35.170233,93.25,-1.44,0.12
2025-07-08 11:03:35.272338,93.21,-1.56,0.12
2025-07-08 11:03:35.372212,93.17,-1.45,0.14
2025-07-08 11:03:35.470784,93.12,-1.48,0.16
2025-07-08 11:03:35.571495,93.05,-1.42,0.16
2025-07-08 11:03:35.670816,93.09,-1.45,0.15
2025-07-08 11:03:35.770309,93.13,-1.44,0.17
2025-07-08 11:03:35.871257,93.13,-1.47,0.18
2025-07-08 11:03:35.970333,93.14,-1.47,0.16
2025-07-08 11:03:36.071925,93.15,-1.47,0.15
2025-07-08 11:03:36.171696,93.17,-1.49,0.14
2025-07-08 11:03:36.270456,93.2,-1.49,0.14
2025-07-08 11:03:36.370817,93.23,-1.49,0.14
2025-07-08 11:03:36.470046,93.22,-1.49,0.13
