Timestamp,Roll (deg),Pitch (deg),Yaw (deg)
2025-07-04 16:35:08.819844,178.38,0.54,-0.87
2025-07-04 16:35:08.911639,178.37,0.59,-0.87
2025-07-04 16:35:09.011739,178.45,0.6,-0.9
2025-07-04 16:35:09.119886,178.45,0.54,-0.92
2025-07-04 16:35:09.212332,178.43,0.48,-0.92
2025-07-04 16:35:09.312323,178.37,0.51,-0.92
2025-07-04 16:35:09.428782,178.47,0.4,-0.92
2025-07-04 16:35:09.519683,178.43,0.33,-0.91
2025-07-04 16:35:09.615847,178.44,0.33,-0.93
2025-07-04 16:35:09.718479,178.45,0.32,-0.89
2025-07-04 16:35:09.811199,178.44,0.33,-0.89
2025-07-04 16:35:09.927575,178.42,0.31,-0.9
2025-07-04 16:35:10.021547,178.52,0.3,-0.92
2025-07-04 16:35:10.118411,178.5,0.27,-0.92
2025-07-04 16:35:10.214306,178.53,0.27,-0.92
2025-07-04 16:35:10.315102,178.54,0.28,-0.91
2025-07-04 16:35:10.421453,178.57,0.27,-0.9
2025-07-04 16:35:10.517572,178.57,0.26,-0.9
2025-07-04 16:35:10.621231,178.58,0.24,-0.9
2025-07-04 16:35:10.716327,178.58,0.24,-0.91
2025-07-04 16:35:10.820271,178.59,0.24,-0.91
2025-07-04 16:35:10.913800,178.83,0.23,-0.88
2025-07-04 16:35:11.020201,-174.25,0.28,-0.84
2025-07-04 16:35:11.119522,-167.49,0.35,-0.86
2025-07-04 16:35:11.220655,-160.23,0.42,-0.88
2025-07-04 16:35:11.317912,-152.63,0.52,-0.88
2025-07-04 16:35:11.427109,-144.88,0.59,-0.85
2025-07-04 16:35:11.518037,-137.15,0.65,-0.87
2025-07-04 16:35:11.618794,-129.25,0.72,-0.85
2025-07-04 16:35:11.717773,-121.4,0.79,-0.81
2025-07-04 16:35:11.820497,-113.47,0.84,-0.76
2025-07-04 16:35:11.917917,-105.59,0.87,-0.71
2025-07-04 16:35:12.018630,-97.65,0.91,-0.68
2025-07-04 16:35:12.118154,-93.04,0.95,-0.59
2025-07-04 16:35:12.222897,-91.73,0.93,-0.61
2025-07-04 16:35:12.310987,-91.89,0.93,-0.6
2025-07-04 16:35:12.433169,-91.9,0.93,-0.6
2025-07-04 16:35:12.512048,-91.91,0.93,-0.6
2025-07-04 16:35:12.612408,-91.91,0.92,-0.6
2025-07-04 16:35:12.722208,-91.91,0.92,-0.61
2025-07-04 16:35:12.814150,-91.91,0.92,-0.6
2025-07-04 16:35:12.933540,-91.91,0.92,-0.61
2025-07-04 16:35:13.022156,-91.91,0.92,-0.6
2025-07-04 16:35:13.126088,-91.91,0.92,-0.61
2025-07-04 16:35:13.214685,-91.96,0.99,-0.6
2025-07-04 16:35:13.339326,-91.65,1.05,-0.6
2025-07-04 16:35:13.463743,-91.85,0.94,-0.55
2025-07-04 16:35:13.534095,-92.02,0.82,-0.59
2025-07-04 16:35:13.630471,-92.04,0.86,-0.64
2025-07-04 16:35:13.732125,-92.03,0.86,-0.6
2025-07-04 16:35:13.837958,-92.0,0.65,-0.64
2025-07-04 16:35:13.938808,-91.98,0.59,-0.63
2025-07-04 16:35:14.032034,-91.98,0.44,-0.66
2025-07-04 16:35:14.139366,-91.97,0.35,-0.65
2025-07-04 16:35:14.232159,-91.99,0.34,-0.68
2025-07-04 16:35:14.347597,-91.94,0.28,-0.7
2025-07-04 16:35:14.439307,-91.99,0.36,-0.63
2025-07-04 16:35:14.529971,-91.95,0.24,-0.66
2025-07-04 16:35:14.638914,-92.02,0.22,-0.63
2025-07-04 16:35:14.737531,-92.06,0.22,-0.67
2025-07-04 16:35:14.836799,-92.06,0.27,-0.63
2025-07-04 16:35:14.940049,-92.06,0.24,-0.61
2025-07-04 16:35:15.025056,-92.03,0.25,-0.6
2025-07-04 16:35:15.139331,-91.98,0.25,-0.59
2025-07-04 16:35:15.236287,-92.0,0.22,-0.57
2025-07-04 16:35:15.339501,-91.94,0.2,-0.62
2025-07-04 16:35:15.438015,-91.93,0.19,-0.63
2025-07-04 16:35:15.531809,-91.93,0.19,-0.64
2025-07-04 16:35:15.632334,-91.92,0.19,-0.64
2025-07-04 16:35:15.732770,-91.9,0.19,-0.64
2025-07-04 16:35:15.832652,-91.9,0.19,-0.64
2025-07-04 16:35:15.939022,-91.27,0.18,-0.61
2025-07-04 16:35:16.040258,-84.04,0.22,-0.62
2025-07-04 16:35:16.136862,-77.32,0.24,-0.66
2025-07-04 16:35:16.249745,-70.02,0.29,-0.67
2025-07-04 16:35:16.353050,-62.42,0.32,-0.74
2025-07-04 16:35:16.455544,-54.72,0.4,-0.76
2025-07-04 16:35:16.550373,-46.88,0.47,-0.76
2025-07-04 16:35:16.648570,-39.11,0.52,-0.75
2025-07-04 16:35:16.756946,-31.16,0.58,-0.74
2025-07-04 16:35:16.852795,-23.29,0.6,-0.7
2025-07-04 16:35:16.949242,-15.43,0.66,-0.66
2025-07-04 16:35:17.058647,-7.42,0.68,-0.62
2025-07-04 16:35:17.153442,-3.47,0.7,-0.61
2025-07-04 16:35:17.255755,-1.93,0.72,-0.59
2025-07-04 16:35:17.354591,-1.88,0.72,-0.58
2025-07-04 16:35:17.457203,-1.89,0.72,-0.58
2025-07-04 16:35:17.548043,-1.91,0.73,-0.57
2025-07-04 16:35:17.658956,-1.92,0.73,-0.57
2025-07-04 16:35:17.771320,-1.94,0.73,-0.57
2025-07-04 16:35:17.850003,-1.93,0.73,-0.57
2025-07-04 16:35:17.961398,-1.93,0.73,-0.57
2025-07-04 16:35:18.046288,-1.94,0.73,-0.57
2025-07-04 16:35:18.156412,-1.93,0.73,-0.57
