Timestamp,Pos_x (m),Pos_y (m),Pos_z (m)
2025-07-04 16:35:06.881811,0.59547,0.59285,0.0
2025-07-04 16:35:06.980005,0.59528,0.59297,0.0
2025-07-04 16:35:07.100934,0.59348,0.59061,0.0
2025-07-04 16:35:07.201386,0.59289,0.58936,0.0
2025-07-04 16:35:07.301873,0.59364,0.58951,0.0
2025-07-04 16:35:07.400266,0.5947,0.59026,0.0
2025-07-04 16:35:07.496555,0.59559,0.59096,0.0
2025-07-04 16:35:07.596754,0.59609,0.59149,0.0
2025-07-04 16:35:07.699946,0.59644,0.59181,0.0
2025-07-04 16:35:07.802084,0.59656,0.5922,0.0
2025-07-04 16:35:07.898154,0.59657,0.59251,0.0
2025-07-04 16:35:08.002472,0.59665,0.59277,0.0
2025-07-04 16:35:08.086243,0.59668,0.593,0.0
2025-07-04 16:35:08.202208,0.5934,0.59403,0.0
2025-07-04 16:35:08.299766,0.56189,0.5991,0.0
2025-07-04 16:35:08.400334,0.51384,0.59919,0.0
2025-07-04 16:35:08.499695,0.47163,0.60056,0.0
2025-07-04 16:35:08.595037,0.43386,0.60162,0.0
2025-07-04 16:35:08.695103,0.3848,0.60273,0.0
2025-07-04 16:35:08.801174,0.34039,0.60335,0.0
2025-07-04 16:35:08.894973,0.29422,0.60381,0.0
2025-07-04 16:35:08.998268,0.24162,0.60457,0.0
2025-07-04 16:35:09.095664,0.19526,0.60502,0.0
2025-07-04 16:35:09.196237,0.15366,0.60598,0.0
2025-07-04 16:35:09.296111,0.1229,0.60659,0.0
2025-07-04 16:35:09.395433,0.09552,0.60675,0.0
2025-07-04 16:35:09.500146,0.07175,0.6067,0.0
2025-07-04 16:35:09.596406,0.0585,0.60691,0.0
2025-07-04 16:35:09.696864,0.05067,0.60708,0.0
2025-07-04 16:35:09.795109,0.04913,0.6072,0.0
2025-07-04 16:35:09.897458,0.04096,0.60797,0.0
2025-07-04 16:35:10.001301,0.03287,0.60876,0.0
2025-07-04 16:35:10.101305,0.02659,0.6082,0.0
2025-07-04 16:35:10.199486,0.02166,0.60776,0.0
2025-07-04 16:35:10.299547,0.01803,0.60794,0.0
2025-07-04 16:35:10.395448,0.01568,0.60821,0.0
2025-07-04 16:35:10.501609,0.01395,0.6083,0.0
2025-07-04 16:35:10.590970,0.01284,0.60805,0.0
2025-07-04 16:35:10.700456,0.01284,0.60802,0.0
2025-07-04 16:35:10.790812,0.01359,0.60806,0.0
2025-07-04 16:35:10.900701,0.01365,0.60806,0.0
2025-07-04 16:35:10.989866,0.01513,0.60978,0.0
2025-07-04 16:35:11.099891,0.015,0.61188,0.0
2025-07-04 16:35:11.195262,0.0141,0.61241,0.0
2025-07-04 16:35:11.300672,0.01391,0.61155,0.0
2025-07-04 16:35:11.427109,0.01351,0.61082,0.0
2025-07-04 16:35:11.500453,0.01266,0.61005,0.0
2025-07-04 16:35:11.593251,0.01204,0.60883,0.0
2025-07-04 16:35:11.701680,0.01094,0.60771,0.0
2025-07-04 16:35:11.800387,0.00953,0.60712,0.0
2025-07-04 16:35:11.900570,0.00908,0.60715,0.0
2025-07-04 16:35:12.000332,0.00882,0.60656,0.0
2025-07-04 16:35:12.100409,0.00831,0.60524,0.0
2025-07-04 16:35:12.200450,0.01053,0.60438,0.0
2025-07-04 16:35:12.293123,0.01234,0.60451,0.0
2025-07-04 16:35:12.388729,0.01234,0.60561,0.0
