timestamp,tof1,tof2,tof3,tof4
2025-07-23 10:52:42.638906,559,0,0,0
2025-07-23 10:52:42.696329,559,0,0,0
2025-07-23 10:52:42.737436,560,0,0,0
2025-07-23 10:52:42.795046,560,0,0,0
2025-07-23 10:52:42.835616,560,0,0,0
2025-07-23 10:52:42.897613,560,0,0,0
2025-07-23 10:52:42.936623,558,0,0,0
2025-07-23 10:52:42.998169,559,0,0,0
2025-07-23 10:52:43.037188,558,0,0,0
2025-07-23 10:52:43.096582,558,0,0,0
2025-07-23 10:52:43.142670,558,0,0,0
2025-07-23 10:52:43.196044,559,0,0,0
2025-07-23 10:52:43.237151,559,0,0,0
2025-07-23 10:52:43.296151,558,0,0,0
2025-07-23 10:52:43.337151,559,0,0,0
2025-07-23 10:52:43.397158,561,0,0,0
2025-07-23 10:52:43.437161,559,0,0,0
2025-07-23 10:52:43.496347,557,0,0,0
2025-07-23 10:52:43.542370,558,0,0,0
2025-07-23 10:52:43.615378,560,0,0,0
2025-07-23 10:52:43.676001,557,0,0,0
2025-07-23 10:52:43.715162,558,0,0,0
2025-07-23 10:52:43.775786,560,0,0,0
2025-07-23 10:52:43.817110,560,0,0,0
2025-07-23 10:52:43.875877,560,0,0,0
2025-07-23 10:52:43.915574,558,0,0,0
2025-07-23 10:52:43.979197,557,0,0,0
2025-07-23 10:52:44.015358,557,0,0,0
2025-07-23 10:52:44.075991,557,0,0,0
2025-07-23 10:52:44.115666,562,0,0,0
2025-07-23 10:52:44.175378,558,0,0,0
2025-07-23 10:52:44.215788,561,0,0,0
2025-07-23 10:52:44.275671,559,0,0,0
2025-07-23 10:52:44.335616,560,0,0,0
2025-07-23 10:52:44.375446,559,0,0,0
2025-07-23 10:52:44.435834,559,0,0,0
2025-07-23 10:52:44.475794,560,0,0,0
2025-07-23 10:52:44.535455,562,0,0,0
2025-07-23 10:52:44.577526,566,0,0,0
2025-07-23 10:52:44.644615,573,0,0,0
2025-07-23 10:52:44.675960,577,0,0,0
2025-07-23 10:52:44.735606,581,0,0,0
2025-07-23 10:52:44.775657,577,0,0,0
2025-07-23 10:52:44.835079,573,0,0,0
2025-07-23 10:52:44.876006,567,0,0,0
2025-07-23 10:52:44.935670,569,0,0,0
2025-07-23 10:52:44.976659,564,0,0,0
2025-07-23 10:52:45.035479,566,0,0,0
2025-07-23 10:52:45.076618,566,0,0,0
2025-07-23 10:52:45.135874,567,0,0,0
2025-07-23 10:52:45.175518,563,0,0,0
2025-07-23 10:52:45.235824,565,0,0,0
2025-07-23 10:52:45.275377,570,0,0,0
2025-07-23 10:52:45.335266,573,0,0,0
2025-07-23 10:52:45.375997,566,0,0,0
2025-07-23 10:52:45.436040,566,0,0,0
2025-07-23 10:52:45.495728,568,0,0,0
2025-07-23 10:52:45.535730,562,0,0,0
2025-07-23 10:52:45.595735,562,0,0,0
2025-07-23 10:52:45.635186,560,0,0,0
2025-07-23 10:52:45.695133,561,0,0,0
2025-07-23 10:52:45.735661,562,0,0,0
2025-07-23 10:52:45.795566,560,0,0,0
2025-07-23 10:52:45.855865,561,0,0,0
2025-07-23 10:52:45.895173,562,0,0,0
2025-07-23 10:52:45.955747,561,0,0,0
2025-07-23 10:52:45.995880,562,0,0,0
2025-07-23 10:52:46.055665,561,0,0,0
2025-07-23 10:52:46.095677,560,0,0,0
2025-07-23 10:52:46.155751,562,0,0,0
2025-07-23 10:52:46.216027,561,0,0,0
2025-07-23 10:52:46.255684,560,0,0,0
2025-07-23 10:52:46.316400,559,0,0,0
2025-07-23 10:52:46.355920,560,0,0,0
2025-07-23 10:52:46.415460,559,0,0,0
2025-07-23 10:52:46.455329,560,0,0,0
2025-07-23 10:52:46.515542,560,0,0,0
2025-07-23 10:52:46.555820,559,0,0,0
2025-07-23 10:52:46.615862,561,0,0,0
2025-07-23 10:52:46.656481,558,0,0,0
2025-07-23 10:52:46.716051,560,0,0,0
2025-07-23 10:52:46.755647,558,0,0,0
2025-07-23 10:52:46.815936,558,0,0,0
2025-07-23 10:52:46.856035,561,0,0,0
2025-07-23 10:52:46.915660,558,0,0,0
2025-07-23 10:52:46.955819,560,0,0,0
