timestamp,tof1,tof2,tof3,tof4
2025-07-23 19:49:50.160716,1819,0,0,0
2025-07-23 19:49:50.160716,1819,0,0,0
2025-07-23 19:49:50.218207,1822,0,0,0
2025-07-23 19:49:50.257009,1815,0,0,0
2025-07-23 19:49:50.317814,1815,0,0,0
2025-07-23 19:49:50.357068,1815,0,0,0
2025-07-23 19:49:50.422048,1822,0,0,0
2025-07-23 19:49:50.456812,1821,0,0,0
2025-07-23 19:49:50.518482,1810,0,0,0
2025-07-23 19:49:50.556412,1816,0,0,0
2025-07-23 19:49:50.617704,1821,0,0,0
2025-07-23 19:49:50.677580,1813,0,0,0
2025-07-23 19:49:50.716926,1814,0,0,0
2025-07-23 19:49:50.756910,1816,0,0,0
2025-07-23 19:49:50.816719,1819,0,0,0
2025-07-23 19:49:50.877163,1820,0,0,0
2025-07-23 19:49:50.919088,1815,0,0,0
2025-07-23 19:49:50.980553,1816,0,0,0
2025-07-23 19:49:51.036912,1811,0,0,0
2025-07-23 19:49:51.078472,1819,0,0,0
2025-07-23 19:49:51.136455,1819,0,0,0
2025-07-23 19:49:51.176388,1815,0,0,0
2025-07-23 19:49:51.236441,1821,0,0,0
2025-07-23 19:49:51.276174,1821,0,0,0
2025-07-23 19:49:51.336997,1812,0,0,0
2025-07-23 19:49:51.377211,1804,0,0,0
2025-07-23 19:49:51.436730,1788,0,0,0
2025-07-23 19:49:51.477212,1768,0,0,0
2025-07-23 19:49:51.536806,1758,0,0,0
2025-07-23 19:49:51.576589,1745,0,0,0
2025-07-23 19:49:51.636839,1730,0,0,0
2025-07-23 19:49:51.677235,1718,0,0,0
2025-07-23 19:49:51.736828,1712,0,0,0
2025-07-23 19:49:51.776357,1704,0,0,0
2025-07-23 19:49:51.836708,1699,0,0,0
2025-07-23 19:49:51.876710,1685,0,0,0
2025-07-23 19:49:51.938018,1675,0,0,0
2025-07-23 19:49:51.996339,1658,0,0,0
2025-07-23 19:49:52.056711,1646,0,0,0
2025-07-23 19:49:52.116818,1619,0,0,0
2025-07-23 19:49:52.156689,1608,0,0,0
2025-07-23 19:49:52.217028,1600,0,0,0
2025-07-23 19:49:52.258707,1588,0,0,0
2025-07-23 19:49:52.317540,1588,0,0,0
2025-07-23 19:49:52.356682,1569,0,0,0
2025-07-23 19:49:52.417115,1556,0,0,0
2025-07-23 19:49:52.457179,1543,0,0,0
2025-07-23 19:49:52.516887,1526,0,0,0
2025-07-23 19:49:52.557184,1518,0,0,0
2025-07-23 19:49:52.616779,1503,0,0,0
2025-07-23 19:49:52.657263,1495,0,0,0
2025-07-23 19:49:52.717556,1482,0,0,0
2025-07-23 19:49:52.756971,1469,0,0,0
2025-07-23 19:49:52.817566,1461,0,0,0
2025-07-23 19:49:52.857154,1444,0,0,0
2025-07-23 19:49:52.916764,1436,0,0,0
2025-07-23 19:49:52.957275,1436,0,0,0
2025-07-23 19:49:53.016673,1407,0,0,0
2025-07-23 19:49:53.076484,1398,0,0,0
2025-07-23 19:49:53.116745,1385,0,0,0
2025-07-23 19:49:53.176861,1369,0,0,0
2025-07-23 19:49:53.217224,1358,0,0,0
2025-07-23 19:49:53.276846,1345,0,0,0
