timestamp,tof1,tof2,tof3,tof4
2025-07-30 10:07:07.778604,708,0,0,0
2025-07-30 10:07:07.778604,708,0,0,0
2025-07-30 10:07:07.837404,707,0,0,0
2025-07-30 10:07:07.877488,707,0,0,0
2025-07-30 10:07:07.937861,708,0,0,0
2025-07-30 10:07:07.978155,708,0,0,0
2025-07-30 10:07:08.038712,707,0,0,0
2025-07-30 10:07:08.097354,708,0,0,0
2025-07-30 10:07:08.141478,708,0,0,0
2025-07-30 10:07:08.197233,708,0,0,0
2025-07-30 10:07:08.260813,708,0,0,0
2025-07-30 10:07:08.298215,709,0,0,0
2025-07-30 10:07:08.338361,708,0,0,0
2025-07-30 10:07:08.398089,708,0,0,0
2025-07-30 10:07:08.437920,709,0,0,0
2025-07-30 10:07:08.501869,708,0,0,0
2025-07-30 10:07:08.538030,706,0,0,0
2025-07-30 10:07:08.597451,709,0,0,0
2025-07-30 10:07:08.637082,708,0,0,0
2025-07-30 10:07:08.697323,707,0,0,0
2025-07-30 10:07:08.740209,707,0,0,0
2025-07-30 10:07:08.797898,709,0,0,0
2025-07-30 10:07:08.838786,707,0,0,0
2025-07-30 10:07:08.897978,708,0,0,0
2025-07-30 10:07:08.960676,708,0,0,0
2025-07-30 10:07:08.998396,698,0,0,0
2025-07-30 10:07:09.058593,687,0,0,0
2025-07-30 10:07:09.097351,669,0,0,0
2025-07-30 10:07:09.157770,650,0,0,0
2025-07-30 10:07:09.199019,633,0,0,0
2025-07-30 10:07:09.258651,618,0,0,0
2025-07-30 10:07:09.298081,607,0,0,0
2025-07-30 10:07:09.358802,597,0,0,0
2025-07-30 10:07:09.398534,590,0,0,0
2025-07-30 10:07:09.458850,582,0,0,0
2025-07-30 10:07:09.518767,571,0,0,0
2025-07-30 10:07:09.557732,557,0,0,0
2025-07-30 10:07:09.597357,573,0,0,0
2025-07-30 10:07:09.657497,541,0,0,0
2025-07-30 10:07:09.698647,520,0,0,0
2025-07-30 10:07:09.759478,502,0,0,0
2025-07-30 10:07:09.798193,489,0,0,0
2025-07-30 10:07:09.858813,475,0,0,0
2025-07-30 10:07:09.918388,466,0,0,0
2025-07-30 10:07:09.957446,454,0,0,0
2025-07-30 10:07:10.018172,442,0,0,0
2025-07-30 10:07:10.061233,428,0,0,0
2025-07-30 10:07:10.118101,413,0,0,0
2025-07-30 10:07:10.157500,398,0,0,0
2025-07-30 10:07:10.218553,385,0,0,0
2025-07-30 10:07:10.257771,373,0,0,0
2025-07-30 10:07:10.319019,359,0,0,0
2025-07-30 10:07:10.358981,348,0,0,0
2025-07-30 10:07:10.421446,324,0,0,0
2025-07-30 10:07:10.459534,324,0,0,0
2025-07-30 10:07:10.520930,299,0,0,0
2025-07-30 10:07:10.558227,284,0,0,0
2025-07-30 10:07:10.622937,272,0,0,0
2025-07-30 10:07:10.678384,260,0,0,0
2025-07-30 10:07:10.720035,253,0,0,0
2025-07-30 10:07:10.778258,253,0,0,0
2025-07-30 10:07:10.821116,253,0,0,0
2025-07-30 10:07:10.878168,252,0,0,0
2025-07-30 10:07:10.920077,249,0,0,0
2025-07-30 10:07:10.978673,250,0,0,0
2025-07-30 10:07:11.037852,257,0,0,0
2025-07-30 10:07:11.078288,248,0,0,0
2025-07-30 10:07:11.137877,250,0,0,0
2025-07-30 10:07:11.178253,257,0,0,0
2025-07-30 10:07:11.237865,248,0,0,0
2025-07-30 10:07:11.278100,257,0,0,0
2025-07-30 10:07:11.337226,258,0,0,0
2025-07-30 10:07:11.406318,257,0,0,0
2025-07-30 10:07:11.437793,257,0,0,0
2025-07-30 10:07:11.478035,257,0,0,0
2025-07-30 10:07:11.538042,257,0,0,0
2025-07-30 10:07:11.598755,258,0,0,0
2025-07-30 10:07:11.641033,258,0,0,0
2025-07-30 10:07:11.697069,256,0,0,0
2025-07-30 10:07:11.738198,255,0,0,0
2025-07-30 10:07:11.798031,257,0,0,0
2025-07-30 10:07:11.837779,254,0,0,0
2025-07-30 10:07:11.897695,257,0,0,0
2025-07-30 10:07:11.937020,256,0,0,0
2025-07-30 10:07:11.997655,254,0,0,0
2025-07-30 10:07:12.037210,256,0,0,0
2025-07-30 10:07:12.097843,255,0,0,0
2025-07-30 10:07:12.137807,253,0,0,0
2025-07-30 10:07:12.198026,255,0,0,0
2025-07-30 10:07:12.238027,252,0,0,0
2025-07-30 10:07:12.298721,252,0,0,0
2025-07-30 10:07:12.339467,252,0,0,0
2025-07-30 10:07:12.397916,253,0,0,0
2025-07-30 10:07:12.440454,254,0,0,0
2025-07-30 10:07:12.497299,252,0,0,0
