timestamp,tof1,tof2,tof3,tof4
2025-07-23 20:06:47.376573,1914,0,0,0
2025-07-23 20:06:47.376573,1914,0,0,0
2025-07-23 20:06:47.435789,1915,0,0,0
2025-07-23 20:06:47.495585,1915,0,0,0
2025-07-23 20:06:47.535815,1913,0,0,0
2025-07-23 20:06:47.596104,1915,0,0,0
2025-07-23 20:06:47.635420,1916,0,0,0
2025-07-23 20:06:47.695571,1917,0,0,0
2025-07-23 20:06:47.736183,1914,0,0,0
2025-07-23 20:06:47.795558,1916,0,0,0
2025-07-23 20:06:47.835309,1913,0,0,0
2025-07-23 20:06:47.895764,1917,0,0,0
2025-07-23 20:06:47.935603,1914,0,0,0
2025-07-23 20:06:47.995346,1919,0,0,0
2025-07-23 20:06:48.055332,1914,0,0,0
2025-07-23 20:06:48.095167,1914,0,0,0
2025-07-23 20:06:48.155536,1915,0,0,0
2025-07-23 20:06:48.195118,1915,0,0,0
2025-07-23 20:06:48.255751,1916,0,0,0
2025-07-23 20:06:48.294751,1916,0,0,0
2025-07-23 20:06:48.354968,1914,0,0,0
2025-07-23 20:06:48.395712,1911,0,0,0
2025-07-23 20:06:48.455402,1916,0,0,0
2025-07-23 20:06:48.495155,1914,0,0,0
2025-07-23 20:06:48.556422,1906,0,0,0
2025-07-23 20:06:48.595936,1887,0,0,0
2025-07-23 20:06:48.655674,1873,0,0,0
2025-07-23 20:06:48.697791,1860,0,0,0
2025-07-23 20:06:48.755450,1860,0,0,0
2025-07-23 20:06:48.797933,1840,0,0,0
2025-07-23 20:06:48.855280,1814,0,0,0
2025-07-23 20:06:48.915461,1815,0,0,0
2025-07-23 20:06:48.956595,1801,0,0,0
2025-07-23 20:06:49.015848,1789,0,0,0
2025-07-23 20:06:49.054790,1783,0,0,0
2025-07-23 20:06:49.115642,1765,0,0,0
2025-07-23 20:06:49.155964,1753,0,0,0
2025-07-23 20:06:49.215380,1741,0,0,0
2025-07-23 20:06:49.255250,1723,0,0,0
2025-07-23 20:06:49.315292,1709,0,0,0
2025-07-23 20:06:49.376072,1701,0,0,0
2025-07-23 20:06:49.415335,1693,0,0,0
2025-07-23 20:06:49.475711,1685,0,0,0
2025-07-23 20:06:49.535359,1672,0,0,0
2025-07-23 20:06:49.575075,1659,0,0,0
2025-07-23 20:06:49.635886,1647,0,0,0
2025-07-23 20:06:49.674691,1638,0,0,0
2025-07-23 20:06:49.735352,1620,0,0,0
2025-07-23 20:06:49.775464,1606,0,0,0
2025-07-23 20:06:49.835185,1600,0,0,0
2025-07-23 20:06:49.895685,1588,0,0,0
2025-07-23 20:06:49.935462,1576,0,0,0
2025-07-23 20:06:49.995184,1559,0,0,0
2025-07-23 20:06:50.035134,1552,0,0,0
