timestamp,x,y,z
1752726626.757448,0.03,0.0,0.0
1752726626.8639457,0.06,0.0,0.0
1752726626.9706612,0.09,0.0,0.0
1752726627.0787427,0.12,0.0,0.0
1752726627.1871428,0.15,0.0,0.0
1752726627.29545,0.18,0.0,0.0
1752726627.4050274,0.21,0.0,0.0
1752726627.513294,0.24,0.0,0.0
1752726627.620069,0.27,0.0,0.0
1752726627.7297778,0.3,0.0,0.0
1752726627.839436,0.33,0.0,0.0
1752726627.9467363,0.36,0.0,0.0
1752726628.056096,0.39,0.0,0.0
1752726628.1629863,0.42,0.0,0.0
1752726628.2703967,0.45,0.0,0.0
1752726628.3783278,0.48,0.0,0.0
1752726628.4867504,0.51,0.0,0.0
1752726628.5958722,0.54,0.0,0.0
1752726628.7037773,0.57,0.0,0.0
1752726628.8112266,0.6,0.0,0.0
1752726628.919188,0.63,0.0,0.0
1752726629.0281737,0.66,0.0,0.0
1752726629.1369975,0.69,0.0,0.0
1752726629.245602,0.72,0.0,0.0
1752726629.3541076,0.75,0.0,0.0
1752726629.461901,0.78,0.0,0.0
1752726629.569184,0.81,0.0,0.0
1752726629.676391,0.84,0.0,0.0
1752726629.783893,0.87,0.0,0.0
1752726629.890941,0.9,0.0,0.0
1752726629.9987795,0.93,0.0,0.0
1752726630.1090274,0.96,0.0,0.0
1752726630.2172105,0.99,0.0,0.0
1752726630.3264434,1.02,0.0,0.0
1752726630.4351604,1.05,0.0,0.0
1752726630.543835,1.08,0.0,0.0
1752726630.6517637,1.11,0.0,0.0
1752726630.7610328,1.14,0.0,0.0
1752726630.8704743,1.17,0.0,0.0
1752726630.9772782,1.2,0.0,0.0
1752726631.087095,1.23,0.0,0.0
1752726631.195283,1.26,0.0,0.0
1752726631.3032634,1.29,0.0,0.0
1752726631.4116862,1.32,0.0,0.0
1752726631.5201914,1.35,0.0,0.0
1752726631.6289468,1.38,0.0,0.0
1752726631.737001,1.41,0.0,0.0
1752726631.8442945,1.44,0.0,0.0
1752726631.9514194,1.47,0.0,0.0
1752726632.0600636,1.49,0.0,0.0
1752726632.1697292,1.52,0.0,0.0
1752726632.277954,1.54,0.0,0.0
1752726632.3856716,1.57,0.0,0.0
1752726632.494372,1.59,0.0,0.0
1752726632.6047332,1.61,0.0,0.0
1752726632.71234,1.63,0.0,0.0
1752726632.8218708,1.65,0.0,0.0
1752726632.9310422,1.66,0.0,0.0
1752726633.0405762,1.68,0.0,0.0
1752726633.147826,1.7,0.0,0.0
1752726633.2558858,1.71,0.0,0.0
1752726633.3643854,1.73,0.0,0.0
1752726633.4726985,1.74,0.0,0.0
1752726633.5829608,1.75,0.0,0.0
1752726633.6921718,1.77,0.0,0.0
1752726633.8000073,1.78,0.0,0.0
1752726633.9081106,1.79,0.0,0.0
1752726634.0163555,1.8,0.0,0.0
1752726634.1252773,1.81,0.0,0.0
1752726634.2349865,1.82,0.0,0.0
1752726634.3432634,1.83,0.0,0.0
1752726634.4508805,1.84,0.0,0.0
1752726634.5600662,1.84,0.0,0.0
1752726634.6675181,1.85,0.0,0.0
1752726634.7756407,1.86,0.0,0.0
1752726634.882787,1.87,0.0,0.0
1752726634.9912379,1.87,0.0,0.0
1752726635.098877,1.88,0.0,0.0
1752726635.209293,1.89,0.0,0.0
1752726635.3177752,1.89,0.0,0.0
1752726635.4269032,1.9,0.0,0.0
1752726635.534253,1.9,0.0,0.0
1752726635.6423645,1.91,0.0,0.0
1752726635.751609,1.91,0.0,0.0
1752726635.8604288,1.92,0.0,0.0
1752726635.968524,1.92,0.0,0.0
1752726636.076244,1.92,0.0,0.0
1752726636.1856863,1.93,0.0,0.0
1752726636.2946143,1.93,0.0,0.0
1752726636.4030867,1.93,0.0,0.0
1752726636.5112522,1.94,0.0,0.0
1752726636.6205218,1.94,0.0,0.0
1752726636.7276855,1.94,0.0,0.0
1752726636.8351853,1.95,0.0,0.0
1752726636.942507,1.95,0.0,0.0
1752726637.0507956,1.95,0.0,0.0
1752726637.1596918,1.95,0.0,0.0
1752726637.2685766,1.96,0.0,0.0
1752726637.376601,1.96,0.0,0.0
1752726637.4837945,1.96,0.0,0.0
1752726637.592005,1.96,0.0,0.0
1752726637.7008178,1.96,0.0,0.0
1752726637.8069592,1.97,0.0,0.0
1752726637.9146478,1.97,0.0,0.0
1752726638.0226278,1.97,0.0,0.0
1752726638.1293797,1.97,0.0,0.0
1752726638.2381895,1.97,0.0,0.0
1752726638.347453,1.97,0.0,0.0
1752726638.455575,1.98,0.0,0.0
1752726638.5643253,1.98,0.0,0.0
1752726638.6728406,1.98,0.0,0.0
1752726638.7807171,1.98,0.0,0.0
1752726638.8893921,1.98,0.0,0.0
1752726638.9992716,1.98,0.0,0.0
1752726639.1059756,1.98,0.0,0.0
1752726639.2143521,1.98,0.0,0.0
1752726639.3217337,1.98,0.0,0.0
1752726639.4295263,1.98,0.0,0.0
1752726639.5366714,1.99,0.0,0.0
1752726639.6462157,1.99,0.0,0.0
1752726639.7539268,1.99,0.0,0.0
1752726639.8627303,1.99,0.0,0.0
1752726639.9712756,1.99,0.0,0.0
1752726640.0794477,1.99,0.0,0.0
1752726640.1886246,1.99,0.0,0.0
1752726640.2973702,1.99,0.0,0.0
1752726640.4048786,1.99,0.0,0.0
