Timestamp,Acc_X (g),Acc_Y (g),Acc_Z (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s)
2025-07-04 16:35:03.624900,0.07306,0.02289,-1.01874,-0.00591,0.00505,0.00204
2025-07-04 16:35:03.695250,0.07452,-0.0258,-0.98351,-0.00533,-0.02775,0.05124
2025-07-04 16:35:03.802745,-0.08102,0.01631,-1.01369,-0.00264,-0.07114,0.00626
2025-07-04 16:35:03.902010,0.09792,0.00301,-1.05306,0.0232,-0.06206,0.02032
2025-07-04 16:35:04.001803,0.01247,-0.01682,-1.03277,-0.00919,-0.00957,0.06422
2025-07-04 16:35:04.095994,-0.03218,-0.01261,-0.99889,-0.00224,0.04155,0.01723
2025-07-04 16:35:04.202058,0.01177,0.01032,-0.99813,-0.04605,-0.04707,0.02714
2025-07-04 16:35:04.296143,-0.22431,0.00301,-1.06346,-0.01573,0.00622,-0.00078
2025-07-04 16:35:04.399990,0.03543,-0.0457,-0.98179,-0.01222,-0.02661,0.07726
2025-07-04 16:35:04.497596,-0.05598,0.02685,-1.01872,-0.01164,0.00173,-0.03939
2025-07-04 16:35:04.596994,-0.17502,0.01437,-1.00089,0.00627,-0.0186,-0.00674
2025-07-04 16:35:04.697296,0.00963,0.00128,-1.00156,0.0035,0.02236,0.00702
2025-07-04 16:35:04.797499,0.01271,-0.01013,-1.00415,0.00381,-0.01999,0.04195
2025-07-04 16:35:04.908749,-0.01754,-0.00736,-1.00754,0.00659,0.00489,0.03401
2025-07-04 16:35:05.010189,-0.02927,0.02676,-0.99565,0.02242,0.00167,-0.00726
2025-07-04 16:35:05.106478,-0.00692,0.01092,-1.00294,-0.00167,0.00315,0.00867
2025-07-04 16:35:05.219235,-0.0127,0.01374,-1.00677,-8e-05,0.01828,0.01571
2025-07-04 16:35:05.319615,-0.01327,0.00736,-1.00723,0.00151,0.00427,0.00993
2025-07-04 16:35:05.422487,-0.01914,0.00644,-1.00635,-0.00082,0.00421,0.01435
2025-07-04 16:35:05.521064,-0.02175,0.00793,-1.0055,-0.0004,0.0044,0.00343
2025-07-04 16:35:05.626733,-0.01962,0.00474,-1.00675,0.00038,0.00305,0.00756
2025-07-04 16:35:05.719006,-0.011,0.00606,-1.01047,-0.00055,0.00621,0.01202
2025-07-04 16:35:05.819918,-0.00295,0.00756,-1.00556,0.00203,0.00494,0.01006
2025-07-04 16:35:05.922167,0.09258,0.11787,-1.02715,-0.0263,0.01288,1.16842
2025-07-04 16:35:06.008189,0.01096,-0.06202,-1.01426,-0.02611,0.02094,1.23847
2025-07-04 16:35:06.120606,0.00818,0.0031,-1.0167,-0.02472,0.0328,1.2972
2025-07-04 16:35:06.228808,0.00282,0.00103,-1.00972,-0.03077,-0.00711,1.31387
2025-07-04 16:35:06.316345,0.01656,-0.03328,-1.00676,-0.03281,0.03456,1.3715
