Timestamp,M1_RPM,M1_Current,M1_Temp,M2_RPM,M2_Current,M2_Temp,M3_RPM,M3_Current,M3_Temp,M4_RPM,M4_Current,M4_Temp
2025-07-04 16:34:57.974733,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:58.080268,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:58.179431,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:58.280171,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:58.366551,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:58.474332,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:58.582630,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:58.672250,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:58.799624,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:58.901563,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:58.989591,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:59.098389,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:59.189471,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:59.296822,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:59.400850,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:59.501636,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:59.593251,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:59.688386,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:59.804056,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:34:59.899852,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:35:00.000504,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:35:00.100304,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:35:00.200448,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
2025-07-04 16:35:00.302657,"[-2, -1, -3, -2]","[7709, 15118, 25348, 20503]","[50424, 50419, 50421, 50422]","[0, 0, 0, 0]"
