timestamp,tof1,tof2,tof3,tof4
2025-07-23 19:57:13.004680,1910,0,0,0
2025-07-23 19:57:13.004680,1910,0,0,0
2025-07-23 19:57:13.064954,1910,0,0,0
2025-07-23 19:57:13.105165,1895,0,0,0
2025-07-23 19:57:13.164825,1907,0,0,0
2025-07-23 19:57:13.205123,1915,0,0,0
2025-07-23 19:57:13.265410,1908,0,0,0
2025-07-23 19:57:13.306071,1908,0,0,0
2025-07-23 19:57:13.365691,1892,0,0,0
2025-07-23 19:57:13.405847,1902,0,0,0
2025-07-23 19:57:13.468008,1903,0,0,0
2025-07-23 19:57:13.526178,1901,0,0,0
2025-07-23 19:57:13.565401,1894,0,0,0
2025-07-23 19:57:13.625175,1903,0,0,0
2025-07-23 19:57:13.665346,1912,0,0,0
2025-07-23 19:57:13.725615,1897,0,0,0
2025-07-23 19:57:13.765820,1894,0,0,0
2025-07-23 19:57:13.826077,1900,0,0,0
2025-07-23 19:57:13.866402,1905,0,0,0
2025-07-23 19:57:13.925269,1903,0,0,0
2025-07-23 19:57:13.985519,1905,0,0,0
2025-07-23 19:57:14.025006,1901,0,0,0
2025-07-23 19:57:14.085774,1905,0,0,0
2025-07-23 19:57:14.125530,1906,0,0,0
2025-07-23 19:57:14.185565,1906,0,0,0
2025-07-23 19:57:14.226328,1882,0,0,0
2025-07-23 19:57:14.285986,1873,0,0,0
2025-07-23 19:57:14.326811,1857,0,0,0
2025-07-23 19:57:14.385805,1844,0,0,0
2025-07-23 19:57:14.445234,1830,0,0,0
2025-07-23 19:57:14.486799,1818,0,0,0
2025-07-23 19:57:14.546694,1804,0,0,0
2025-07-23 19:57:14.586081,1810,0,0,0
2025-07-23 19:57:14.646590,1792,0,0,0
2025-07-23 19:57:14.686989,1787,0,0,0
2025-07-23 19:57:14.746121,1779,0,0,0
2025-07-23 19:57:14.786933,1762,0,0,0
2025-07-23 19:57:14.846595,1747,0,0,0
2025-07-23 19:57:14.906802,1734,0,0,0
2025-07-23 19:57:14.968263,1723,0,0,0
2025-07-23 19:57:15.006611,1712,0,0,0
2025-07-23 19:57:15.066237,1705,0,0,0
2025-07-23 19:57:15.106619,1693,0,0,0
2025-07-23 19:57:15.166389,1685,0,0,0
2025-07-23 19:57:15.206343,1671,0,0,0
2025-07-23 19:57:15.266631,1657,0,0,0
2025-07-23 19:57:15.306369,1657,0,0,0
2025-07-23 19:57:15.367050,1634,0,0,0
2025-07-23 19:57:15.406869,1620,0,0,0
2025-07-23 19:57:15.467458,1607,0,0,0
2025-07-23 19:57:15.526284,1597,0,0,0
2025-07-23 19:57:15.566801,1592,0,0,0
2025-07-23 19:57:15.626687,1577,0,0,0
2025-07-23 19:57:15.666654,1568,0,0,0
2025-07-23 19:57:15.728391,1553,0,0,0
2025-07-23 19:57:15.766616,1541,0,0,0
2025-07-23 19:57:15.826079,1530,0,0,0
2025-07-23 19:57:15.866433,1513,0,0,0
2025-07-23 19:57:15.926531,1504,0,0,0
2025-07-23 19:57:15.986789,1480,0,0,0
2025-07-23 19:57:16.026723,1466,0,0,0
2025-07-23 19:57:16.086649,1454,0,0,0
2025-07-23 19:57:16.147860,1441,0,0,0
2025-07-23 19:57:16.187789,1430,0,0,0
2025-07-23 19:57:16.247854,1415,0,0,0
2025-07-23 19:57:16.287807,1404,0,0,0
2025-07-23 19:57:16.347739,1387,0,0,0
2025-07-23 19:57:16.387633,1379,0,0,0
2025-07-23 19:57:16.448526,1364,0,0,0
2025-07-23 19:57:16.487462,1352,0,0,0
2025-07-23 19:57:16.548201,1340,0,0,0
2025-07-23 19:57:16.588398,1326,0,0,0
2025-07-23 19:57:16.647737,1316,0,0,0
2025-07-23 19:57:16.707123,1302,0,0,0
2025-07-23 19:57:16.747589,1290,0,0,0
2025-07-23 19:57:16.807772,1277,0,0,0
2025-07-23 19:57:16.848326,1265,0,0,0
2025-07-23 19:57:16.908019,1254,0,0,0
2025-07-23 19:57:16.947669,1239,0,0,0
2025-07-23 19:57:17.007535,1226,0,0,0
2025-07-23 19:57:17.048129,1213,0,0,0
2025-07-23 19:57:17.110834,1202,0,0,0
2025-07-23 19:57:17.167320,1188,0,0,0
2025-07-23 19:57:17.207739,1176,0,0,0
2025-07-23 19:57:17.267425,1164,0,0,0
2025-07-23 19:57:17.307341,1150,0,0,0
2025-07-23 19:57:17.368048,1140,0,0,0
2025-07-23 19:57:17.407987,1126,0,0,0
2025-07-23 19:57:17.467652,1113,0,0,0
2025-07-23 19:57:17.507140,1100,0,0,0
2025-07-23 19:57:17.567397,1088,0,0,0
2025-07-23 19:57:17.608185,1076,0,0,0
2025-07-23 19:57:17.667805,1063,0,0,0
2025-07-23 19:57:17.707591,1050,0,0,0
2025-07-23 19:57:17.767654,1040,0,0,0
2025-07-23 19:57:17.807498,1026,0,0,0
2025-07-23 19:57:17.867733,1013,0,0,0
2025-07-23 19:57:17.908038,999,0,0,0
2025-07-23 19:57:17.968162,987,0,0,0
2025-07-23 19:57:18.007453,971,0,0,0
2025-07-23 19:57:18.068246,962,0,0,0
2025-07-23 19:57:18.127625,948,0,0,0
2025-07-23 19:57:18.167168,935,0,0,0
2025-07-23 19:57:18.227526,923,0,0,0
2025-07-23 19:57:18.267657,910,0,0,0
2025-07-23 19:57:18.327756,898,0,0,0
2025-07-23 19:57:18.367820,884,0,0,0
2025-07-23 19:57:18.427276,872,0,0,0
2025-07-23 19:57:18.470950,858,0,0,0
2025-07-23 19:57:18.527419,846,0,0,0
2025-07-23 19:57:18.567739,832,0,0,0
2025-07-23 19:57:18.627199,820,0,0,0
2025-07-23 19:57:18.687703,807,0,0,0
2025-07-23 19:57:18.727604,794,0,0,0
2025-07-23 19:57:18.787798,781,0,0,0
2025-07-23 19:57:18.827298,768,0,0,0
2025-07-23 19:57:18.887368,754,0,0,0
2025-07-23 19:57:18.927847,742,0,0,0
2025-07-23 19:57:18.988590,728,0,0,0
2025-07-23 19:57:19.027935,715,0,0,0
2025-07-23 19:57:19.087280,703,0,0,0
2025-07-23 19:57:19.148071,690,0,0,0
2025-07-23 19:57:19.187921,678,0,0,0
2025-07-23 19:57:19.248190,663,0,0,0
2025-07-23 19:57:19.287498,651,0,0,0
2025-07-23 19:57:19.347541,626,0,0,0
2025-07-23 19:57:19.408867,613,0,0,0
2025-07-23 19:57:19.447624,600,0,0,0
2025-07-23 19:57:19.507585,614,0,0,0
2025-07-23 19:57:19.547584,583,0,0,0
2025-07-23 19:57:19.608918,583,0,0,0
2025-07-23 19:57:19.648328,550,0,0,0
2025-07-23 19:57:19.709444,550,0,0,0
2025-07-23 19:57:19.747590,531,0,0,0
2025-07-23 19:57:19.809125,520,0,0,0
2025-07-23 19:57:19.847541,505,0,0,0
2025-07-23 19:57:19.910358,491,0,0,0
2025-07-23 19:57:19.948719,465,0,0,0
2025-07-23 19:57:20.010219,450,0,0,0
2025-07-23 19:57:20.067373,436,0,0,0
2025-07-23 19:57:20.108531,423,0,0,0
2025-07-23 19:57:20.166953,410,0,0,0
2025-07-23 19:57:20.208425,397,0,0,0
2025-07-23 19:57:20.273663,383,0,0,0
2025-07-23 19:57:20.309555,369,0,0,0
2025-07-23 19:57:20.367723,356,0,0,0
2025-07-23 19:57:20.408745,348,0,0,0
2025-07-23 19:57:20.468250,345,0,0,0
